type,Threshold,Model,term,Estimate,Std_Error,CI_low,CI_high,OR,OR_Std_Error,CI_lower,CI_upper,p_value,ent_yes_d_yes,ent_no_d_yes,ent_yes_d_no,ent_no_d_no,cov_ent_yes_d_yes,cov_ent_yes_d_no,cov_ent_no_d_yes,cov_ent_no_d_no,knot_ent_yes_d_yes,knot_ent_yes_d_no,knot_ent_no_d_yes,knot_ent_no_d_no,converged,sep_value,separation_flag,nonconv_flag,had_warning_tidy,warning_text_tidy,had_warning_fit,warning_text_fit,warning,p_value_BH
af,95th,non_ent,(Intercept),-2.0339273001620555,0.060911318666705606,-2.155065806955025,-1.9162190928043499,0.1308207386493526,1.0628046590737243,0.11589556362778393,0.1471623186625753,1.8144756831361408e-244,1243,317,4262,2894,98,213,1462,6943,11,34,1549,7122,TRUE,FALSE ,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,1.8144756831361408e-244
af,95th,non_ent,EntanglementYes,0.7035728385239699,0.07035252900041036,0.5667566877703003,0.8426167324932173,2.020960388995311,1.0728863381430047,1.7625412995002134,2.32243622685423,1.5136047186676805e-23,1243,317,4262,2894,98,213,1462,6943,11,34,1549,7122,TRUE,FALSE ,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,1.5136047186676805e-23
af,95th,non_ent,scale(Length),0.37922587340244013,0.026006167766153304,0.32838156085422454,0.43036474321603035,1.4611530340803986,1.0263472787239276,1.3887187519246618,1.537818330070257,3.648359634730243e-48,1243,317,4262,2894,98,213,1462,6943,11,34,1549,7122,TRUE,FALSE ,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,3.648359634730243e-48
af,95th,non_ent,EssentialNT,-0.7929317821475317,0.23100038549476348,-1.27515031513796,-0.3650745817017513,0.45251616978571896,1.2598597251184647,0.27938896867353186,0.6941448784410685,5.978247204665436e-4,1243,317,4262,2894,98,213,1462,6943,11,34,1549,7122,TRUE,FALSE ,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,5.978247204665436e-4
af,95th,non_ent,EssentialYes,-0.2512842348491765,0.11069897329687829,-0.47272858971543663,-0.03841365099769201,0.7778012619125434,1.1170585917720128,0.623299218040657,0.9623147960748862,0.02320891744145233,1243,317,4262,2894,98,213,1462,6943,11,34,1549,7122,TRUE,FALSE ,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,0.02320891744145233
af,95th,cov_ent,(Intercept),-1.5664844478563733,0.0313926094629488,-1.6284421412202832,-1.5053739684766922,0.2087778631780358,1.0318905543643655,0.19623504261076982,0.22193428188566874,0,1243,317,4262,2894,98,213,1462,6943,11,34,1549,7122,TRUE,FALSE ,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,0
af,95th,cov_ent,Cov_EntanglementYes,0.5421698535217563,0.1319268454613056,0.2798350345724648,0.7974977376446315,1.7197343883485003,1.1410248450678342,1.3229115596648278,2.2199790028074826,3.963022640834831e-5,1243,317,4262,2894,98,213,1462,6943,11,34,1549,7122,TRUE,FALSE ,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,3.963022640834831e-5
af,95th,cov_ent,scale(Length),0.4462675185198207,0.025245726062746724,0.3969637845196692,0.49595717266218764,1.562469400129951,1.0255670981295344,1.4873020657172442,1.6420692308590965,6.3116106018782e-70,1243,317,4262,2894,98,213,1462,6943,11,34,1549,7122,TRUE,FALSE ,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,6.3116106018782e-70
af,95th,cov_ent,EssentialNT,-0.8967710198374398,0.22979212843749028,-1.3769273247829952,-0.4716028526618641,0.40788458690097174,1.2583384099693773,0.2523527610806429,0.6240012841626489,9.519184489984809e-5,1243,317,4262,2894,98,213,1462,6943,11,34,1549,7122,TRUE,FALSE ,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,9.519184489984809e-5
af,95th,cov_ent,EssentialYes,-0.2496259512340071,0.11037187786846728,-0.4705003289465204,-0.037469634634875196,0.7790921470320349,1.116693266764704,0.6246896397713066,0.9632236659150658,0.02371713507134233,1243,317,4262,2894,98,213,1462,6943,11,34,1549,7122,TRUE,FALSE ,FALSE,FALSE,FALSE,NA,FALSE,NA,FALSE,0.02371713507134233
